"title","author","publication_year","genre","synopsis"
"Continent, Coast, Ocean","Kee Beng Ooi","2007","Business & Economics","Examines the dynamics of regionalism in Eastern Asia. Japan's diplomatic history as well as the heritage of its conquest of Eastern Asia is examined alongside China's cultural geography, paradigmatic…"
"THE HOUSE IN ST. MARTIN'S STREET","CONSTANCE HILL","1907","Ficción","Obra de CONSTANCE HILL, publicada en 1907."
"A Search for Fortune","Hamilton Lindsay-Bucknall","1878","Australia","Obra de Hamilton Lindsay-Bucknall, publicada en 1878."
"The China Correspondence","Revolutionary Red Aid Society in China","1930","Communism","Obra de Revolutionary Red Aid Society in China, publicada en 1930."
"The Ramayan of Válmíki Translated Into English Verse by Ralph T.H. Griffith ...","Vālmīki","1895","Rāma (Hindu deity)","Obra de Vālmīki, publicada en 1895."
"Dream Songs & Shadows","Bijay Kishore Sundar Ray","1999","Ficción","Obra de Bijay Kishore Sundar Ray, publicada en 1999."
"The Book of Genesis","Herbert Edward Ryle","1921","Bible","Obra de Herbert Edward Ryle, publicada en 1921."
"Congressional Record","United States. Congress","2006","Law","The Congressional Record is the official record of the proceedings and debates of the United States Congress. It is published daily when Congress is in session. The Congressional Record began publica…"
"An Age of Enormity","Isaac Rosenfeld","1962","Literature, Modern","Obra de Isaac Rosenfeld, publicada en 1962."
"The Muslim World League Journal","Muslim World League","2003","Islam","Obra de Muslim World League, publicada en 2003."
"The Oxford Companion to World War II","Ian Dear","1995","History","Provides a comprehensive coverage of the greatest conflict in modern history. Includes photos, diags and maps and an in-depth coverage of the social aspects of the war. B/W illus."
"Parliamentary Papers","Great Britain. Parliament. House of Commons","1884","Great Britain","Obra de Great Britain. Parliament. House of Commons, publicada en 1884."
"A German-English dictionary","Hermann Carl George Brandt","1925","English language","Obra de Hermann Carl George Brandt, publicada en 1925."
"First Latin Book","Archibald Hamilton Bryce","1892","Latin language","Obra de Archibald Hamilton Bryce, publicada en 1892."
"Outlines of European History: From the opening of the eighteenth century to the present day","James Harvey Robinson","1912","Europe","History of Europe since the 18th century in the growth of empires, conflicts and wars in Europe, social and economic development, revolutions, and growth of the nation state."
"John Inglesant","Joseph Henry Shorthouse","1884","Ficción","""Shorthouse (1834-1903) was born and died in Birmingham, the eldest son of Joseph Shorthouse and his wife, Mary Ann, both of whom belonged to the Society of Friends. Joseph had inherited a chemical w…"
"Essays, Critical and Miscellaneous","Thomas Babington Macaulay Baron Macaulay","1875","English literature","Obra de Thomas Babington Macaulay Baron Macaulay, publicada en 1875."
"The Century Dictionary and Cyclopedia: The Century dictionary ... prepared under the superintendence of W. D. Whitney","William Dwight Whitney","1900","Atlases","Obra de William Dwight Whitney, publicada en 1900."
"Punch","Mark Lemon","1892","Caricatures and cartoons","Obra de Mark Lemon, publicada en 1892."
"Herd Book","National Pig Breeders' Association, London","1959","Swine","Obra de National Pig Breeders' Association, London, publicada en 1959."
"Encyclopedia Britannica","Hugh Chisholm","1911","Encyclopedias and dictionaries","Obra de Hugh Chisholm, publicada en 1911."
"Counter-Terrorism, Aid and Civil Society","Jude Howell","2009","Business & Economics","This book examines the effects of the increasing securitization of aid on civil societies in the context of the shifting global politics post-9/11."
"Terrorism","Yonah Alexander","1989","Political Science","Obra de Yonah Alexander, publicada en 1989."
"A Compendious German and English Dictionary","William Dwight Whitney","1901","Ficción","Obra de William Dwight Whitney, publicada en 1901."
"Abstracts of Theses","Vanderbilt University","1942","Dissertations, Academic","Obra de Vanderbilt University, publicada en 1942."
"Exploring International Human Rights","Rhonda L. Callaway","2007","Political Science","Presenting a range of philosophical debates, policy analyses, and first-hand accounts, this text offers a comprehensive set of readings on the major themes and issues in the field of international hu…"
"Crime Fiction","John Scaggs","2005","Fiction","Provides a lively introduction to what is both a wide-ranging and hugely popular literary genre. Accessible and clear, this comprehensive overview is the essential guide for all those studying crime…"
"The Triumph of the Thriller","Patrick Anderson","2007","Literary Criticism","""In his provocative, caustic, and often hilarious survey of today's popular fiction, Anderson shows us who the best thriller writers are - and the worst. He shows how Michael Connelly was inspired by…"
"Fuzzy Data Warehousing for Performance Measurement","Daniel Fasel","2014","Business & Economics","The numeric values retrieved from a data warehouse may be difficult for business users to interpret, and may even be interpreted incorrectly. Therefore, in order to better ​understand numeric values,…"
"The Routledge Introduction to Canadian Crime Fiction","Pamela Bedore","2024","Fiction","Who are the most important Canadian crime and detective writers? How do they help represent Canada as a nation? How do they distinguish Canada’s approach to questions of crime, detection, and social…"
"Find You","Kate Bold","2025","Fiction","""This is an excellent book... When you start reading, be sure you don't have to wake up early!"" —Reader review for The Killing Game The Pacific Northwest is ablaze with a strange series of combustive…"
"When Shadows Fall (DS Max Craigie Scottish Crime Thrillers, Book 6)","Neil Lancaster","2025","Fiction","'Non-stop action, breakneck pace, deliciously suspenseful... When Shadows Fall was my first DS Max Craigie book and won’t be my last – I loved it.' Andrea Mara 'A good old police procedural... I was…"
"Theatrical Feature Film Trade and Media Policies in Japan, Korea, and the United States","Sang-Woo Lee","2002","Ficción","Obra de Sang-Woo Lee, publicada en 2002."
"The Anatomy of Genres","John Truby","2022","Language Arts & Disciplines","A guide to understanding the major genres of the story world by the legendary writing teacher and author of The Anatomy of Story, John Truby. Most people think genres are simply categories on Netflix…"
"Literary Essays & Reviews","John Whitehead","1993","Literary Collections","Obra de John Whitehead, publicada en 1993."
"The Oxford History of New Zealand Literature in English","Terry Sturm","1998","History","This is the most comprehensive history of New Zealand literature to have been published. It offers chapters on the novel, poetry, and on the short story, which have been the staple of earlier histori…"
"The Penguin Dictionary of Literary Terms and Literary Theory","John Anthony Cuddon","1998","Language Arts & Disciplines","The Penguin Dictionary of Literary Terms and Literary Theory is firmly established as a key work of reference in the complex and varied field of literary criticism. Now in its fourth edition, it rema…"
"Modern Criticism and Theory","David Lodge","1988","Language Arts & Disciplines","Provides within the covers of a single book, a selection of important and representative work from all the major theoretical schools or tendencies in contemporary criticism, and places them before th…"
"The Rock Song Index","Bruce Pollock","1997","Music","A listing of over 7,500 rock songs presented alphabetically by artist that notes the album the song appeared on, its year of release, the producer, record company, and songwriters. Also briefly descr…"
"American Mystery and Detective Novels","Larry N. Landrum","1999","Literary Criticism","A guide to research on American mystery and detective novels emphasizing the historical development of the genre and major critical approaches to the literature."
"The James Bond Phenomenon","Christoph Lindner","2009","Art","Sean Connery’s tuxedo, Ursula Andress’ bikini, Oddjob’s bowler hat, and Q’s gadgets are just a few defining features of the 007 world examined in The James Bond Phenomenon. Drawn from the fields of l…"
"Poetry","Harriet Monroe","1946","American poetry","Obra de Harriet Monroe, publicada en 1946."
"Perspectives on Film Noir","R. Barton Palmer","1996","Performing Arts","With the revived use of film noir by such contemporary directors as Scorsese, Altman, and the Coen brothers, there has been heightened public and academic interest in the film noir as a genre movemen…"
"Library Journal","Melvil Dewey","2004","Electronic journals","Includes, beginning Sept. 15, 1954 (and on the 15th of each month, Sept.-May) a special section: School library journal, ISSN 0000-0035, (called Junior libraries, 1954-May 1961). Also issued separate…"
"TOEFL, Test of English as a Foreign Language","Edith H. Babin","1987","Foreign Language Study","Obra de Edith H. Babin, publicada en 1987."
"The Art and Science of Screenwriting","Philip Parker","1998","Performing Arts","This is an introduction to the essential elements of screenwriting, from finding an idea to creating a finished screenplay. The text includes methodology, how to apply creative vision, a focus on the…"
"Twelve One-act Plays for Study and Production","Samuel Marion Tucker","1929","American drama","Obra de Samuel Marion Tucker, publicada en 1929."
"The Writer","William Henry Hills","1984","Authorship","The oldest magazine for literary workers."
"Balkan Cinema","Michael Jon Stoil","1982","Performing Arts","Obra de Michael Jon Stoil, publicada en 1982."
"Dance Studies and Global Feminisms","Congress on Research in Dance. Conference","2008","Dance","Obra de Congress on Research in Dance. Conference, publicada en 2008."
"Catalogue of Title Entries of Books and Other Articles Entered in the Office of the Register of Copyrights, Library of Congress, at Washington, D.C.","Library of Congress. Copyright Office","1953","American literature","Obra de Library of Congress. Copyright Office, publicada en 1953."
"Motion Pictures, 1940-1949","Library of Congress. Copyright Office","1953","Motion pictures","Obra de Library of Congress. Copyright Office, publicada en 1953."
"The Writer's Handbook, 1997","Sylvia K. Burack","1997","Language Arts & Disciplines","""Manuscript market section"", ed. by U. G. Olsen, 1941-44; by E. P. Werby, 1945-"
"Scribner's Magazine","Edward Livermore Burlingame","1921","American periodicals","Obra de Edward Livermore Burlingame, publicada en 1921."
"The Influence of Intelligence Upon Children's Reading Interests","Miriam Blanton Huber","1928","Books and reading","Obra de Miriam Blanton Huber, publicada en 1928."
"Read 'Em Their Writes","Gary Warren Niebuhr","2006","Language Arts & Disciplines","Presents a guide for mystery book clubs, discussing how to organize groups, get participants, choose titles, prepare for meetings, and administer discussions."
"Literary Digest: a Repository of Contemporaneous Thought and Research as Presented in the Periodical Literature of the World","Edward Jewitt Wheeler","1917","Ficción","Obra de Edward Jewitt Wheeler, publicada en 1917."
"Probable Cause","LeRoy Panek","1990","Fiction","An introductory survey of the first one hundred years (1840-1940) of crime literature and crime history in this country. Panek (English, Western Maryland College) relates the history of the literatur…"
"Bestsellers","Clive Bloom","2008","Fiction","This essential guide and reference work provides a unique insight into over 100 years of publishing and reading as well as taking us on a journey into the heart of the British imagination."
"The Craftsmanship of the One-act Play","Percival Wilde","1923","Drama","Obra de Percival Wilde, publicada en 1923."
